lsoa_code,lad_code,region_code,country_code,latitude,longitude
E01000001,E09000001,E12000007,E92000001,51.51750664864865,-0.09690821621621622
E01000002,E09000001,E12000007,E92000001,51.517912367283955,-0.0923754537037037
E01000003,E09000001,E12000007,E92000001,51.52176226530612,-0.09576326530612245
E01000005,E09000001,E12000007,E92000001,51.51357748160535,-0.07616378595317726
E01000006,E09000002,E12000007,E92000001,51.5390169375,0.0880385625
E01000007,E09000002,E12000007,E92000001,51.540531890243905,0.07804537804878049
E01000008,E09000002,E12000007,E92000001,51.540055448275865,0.07024458620689655
E01000009,E09000002,E12000007,E92000001,51.54060525714286,0.083566
E01000011,E09000002,E12000007,E92000001,51.54293184615385,0.08015992307692307
E01000012,E09000002,E12000007,E92000001,51.542847615384616,0.07497084615384615
E01000013,E09000002,E12000007,E92000001,51.543298303030305,0.1477421212121212
E01000014,E09000002,E12000007,E92000001,51.54394613636364,0.14282863636363638
E01000015,E09000002,E12000007,E92000001,51.54414280851064,0.15571459574468086
E01000016,E09000002,E12000007,E92000001,51.549323896551726,0.1520576551724138
E01000017,E09000002,E12000007,E92000001,51.54956859090908,0.14611054545454547
E01000018,E09000002,E12000007,E92000001,51.54647095999999,0.15205436
E01000019,E09000002,E12000007,E92000001,51.5585144,0.12096834999999999
E01000020,E09000002,E12000007,E92000001,51.5560534,0.1247742
E01000021,E09000002,E12000007,E92000001,51.554786566666664,0.11671713333333335
E01000022,E09000002,E12000007,E92000001,51.554126636363634,0.12172731818181819
E01000024,E09000002,E12000007,E92000001,51.55138939473684,0.12042578947368421
E01000025,E09000002,E12000007,E92000001,51.54932444,0.11791824000000001
E01000027,E09000002,E12000007,E92000001,51.589363795454545,0.13963886363636366
E01000028,E09000002,E12000007,E92000001,51.58517846428572,0.12963132142857142
E01000029,E09000002,E12000007,E92000001,51.58052671428571,0.13430182857142858
E01000030,E09000002,E12000007,E92000001,51.583519242424245,0.1362942424242424
E01000031,E09000002,E12000007,E92000001,51.57536618,0.13931734
E01000032,E09000002,E12000007,E92000001,51.57346361538461,0.1348171923076923
E01000033,E09000002,E12000007,E92000001,51.55515826315789,0.1624725789473684
E01000034,E09000002,E12000007,E92000001,51.5558824375,0.17040640625
E01000035,E09000002,E12000007,E92000001,51.549249214285716,0.16244710714285712
E01000036,E09000002,E12000007,E92000001,51.54539882142857,0.16319475
E01000037,E09000002,E12000007,E92000001,51.562341545454544,0.17934545454545453
E01000038,E09000002,E12000007,E92000001,51.563745454545455,0.1729346
E01000039,E09000002,E12000007,E92000001,51.557856192307696,0.17982296153846156
E01000040,E09000002,E12000007,E92000001,51.53648292857143,0.09740682142857142
E01000041,E09000002,E12000007,E92000001,51.5379495,0.11590185
E01000042,E09000002,E12000007,E92000001,51.53741379069767,0.10579813953488372
E01000043,E09000002,E12000007,E92000001,51.534141913043484,0.09922647826086957
E01000044,E09000002,E12000007,E92000001,51.53582765,0.09107364999999999
E01000045,E09000002,E12000007,E92000001,51.534997485714285,0.11202434285714286
E01000046,E09000002,E12000007,E92000001,51.53690533333334,0.12014670000000001
E01000049,E09000002,E12000007,E92000001,51.530491133333335,0.08549693333333333
E01000050,E09000002,E12000007,E92000001,51.53406170588236,0.08567482352941176
E01000051,E09000002,E12000007,E92000001,51.53413095833333,0.0826821875
E01000052,E09000002,E12000007,E92000001,51.534327589235126,0.08865415864022663
E01000053,E09000002,E12000007,E92000001,51.53279732,0.1443704
E01000054,E09000002,E12000007,E92000001,51.5368715,0.13250584999999998
E01000055,E09000002,E12000007,E92000001,51.53563768,0.12635948
E01000056,E09000002,E12000007,E92000001,51.53413733333333,0.136485875
E01000057,E09000002,E12000007,E92000001,51.53803711111111,0.1262263888888889
E01000058,E09000002,E12000007,E92000001,51.539361684210526,0.13644226315789473
E01000059,E09000002,E12000007,E92000001,51.53631802857143,0.14099308571428573
E01000060,E09000002,E12000007,E92000001,51.557647243902444,0.15216400000000002
E01000061,E09000002,E12000007,E92000001,51.56102773333333,0.1540006888888889
E01000062,E09000002,E12000007,E92000001,51.55400625,0.15257352777777777
E01000063,E09000002,E12000007,E92000001,51.556040772727265,0.1451909090909091
E01000064,E09000002,E12000007,E92000001,51.55357166666667,0.15746160416666666
E01000065,E09000002,E12000007,E92000001,51.55343004444445,0.14208055555555557
E01000066,E09000002,E12000007,E92000001,51.546727884615386,0.1062456153846154
E01000067,E09000002,E12000007,E92000001,51.54733747619048,0.10106014285714285
E01000068,E09000002,E12000007,E92000001,51.541179916666664,0.0903235
E01000069,E09000002,E12000007,E92000001,51.542088756756755,0.09940675675675675
E01000070,E09000002,E12000007,E92000001,51.54461605660377,0.09354754716981133
E01000071,E09000002,E12000007,E92000001,51.54003641025641,0.09942269230769231
E01000072,E09000002,E12000007,E92000001,51.542282892857145,0.11455507142857144
E01000073,E09000002,E12000007,E92000001,51.545934095238096,0.11619990476190477
E01000074,E09000002,E12000007,E92000001,51.54597533333334,0.12083985714285715
E01000075,E09000002,E12000007,E92000001,51.54173911111111,0.12574722222222223
E01000076,E09000002,E12000007,E92000001,51.54117386956522,0.12008091304347826
E01000077,E09000002,E12000007,E92000001,51.549490043478265,0.1259074347826087
E01000078,E09000002,E12000007,E92000001,51.55194616666666,0.132227125
E01000079,E09000002,E12000007,E92000001,51.5470398,0.1413322
E01000080,E09000002,E12000007,E92000001,51.54847946153846,0.13138073076923076
E01000081,E09000002,E12000007,E92000001,51.54988062499999,0.13851629166666665
E01000082,E09000002,E12000007,E92000001,51.55437082608695,0.13925104347826087
E01000083,E09000002,E12000007,E92000001,51.553545571428565,0.12868976190476192
E01000084,E09000002,E12000007,E92000001,51.539877159999996,0.14642304
E01000085,E09000002,E12000007,E92000001,51.53791828000001,0.15029792
E01000086,E09000002,E12000007,E92000001,51.53658758823529,0.14645217647058822
E01000087,E09000002,E12000007,E92000001,51.531072230769226,0.150552
E01000088,E09000002,E12000007,E92000001,51.53369133333333,0.15557153846153846
E01000089,E09000002,E12000007,E92000001,51.530679428571425,0.16021714285714286
E01000090,E09000002,E12000007,E92000001,51.52599189130435,0.15650084782608695
E01000091,E09000002,E12000007,E92000001,51.52768653846154,0.10929923076923077
E01000093,E09000002,E12000007,E92000001,51.52933685714286,0.10260921428571428
E01000094,E09000002,E12000007,E92000001,51.52517439655172,0.11636496551724138
E01000095,E09000002,E12000007,E92000001,51.52639393396227,0.13319203773584906
E01000096,E09000002,E12000007,E92000001,51.5317241509434,0.11423505660377359
E01000097,E09000002,E12000007,E92000001,51.56386921739131,0.12892508695652174
E01000098,E09000002,E12000007,E92000001,51.56067009375,0.1271273125
E01000099,E09000002,E12000007,E92000001,51.56310563265306,0.13368481632653062
E01000100,E09000002,E12000007,E92000001,51.55923871428571,0.13908204761904763
E01000101,E09000002,E12000007,E92000001,51.55924069565218,0.144724
E01000102,E09000002,E12000007,E92000001,51.55715733333333,0.13293784848484846
E01000103,E09000002,E12000007,E92000001,51.536251176470586,0.1665504117647059
E01000104,E09000002,E12000007,E92000001,51.53895022857143,0.1661083142857143
E01000105,E09000002,E12000007,E92000001,51.54029540909091,0.15291775
E01000106,E09000002,E12000007,E92000001,51.54040033333333,0.15916652083333332
E01000107,E09000002,E12000007,E92000001,51.5410300952381,0.17304923809523812
E01000108,E09000002,E12000007,E92000001,51.542405470588236,0.16562508823529412
E01000110,E09000002,E12000007,E92000001,51.57370428571428,0.14590757142857141
E01000111,E09000002,E12000007,E92000001,51.56889445833334,0.1436456875
E01000112,E09000002,E12000007,E92000001,51.570488583333336,0.13886797916666668
E01000113,E09000002,E12000007,E92000001,51.56998325,0.13273433333333334
E01000114,E09000002,E12000007,E92000001,51.56392984210526,0.14809573684210528
E01000115,E09000003,E12000007,E92000001,51.6360221372549,-0.14083698039215686
E01000116,E09000003,E12000007,E92000001,51.63350529411765,-0.146324
E01000117,E09000003,E12000007,E92000001,51.63268497297297,-0.15634789189189188
E01000118,E09000003,E12000007,E92000001,51.63105136666666,-0.15173273333333331
E01000119,E09000003,E12000007,E92000001,51.63083418421053,-0.13458276315789472
E01000120,E09000003,E12000007,E92000001,51.632501857142856,-0.13965385714285714
E01000121,E09000003,E12000007,E92000001,51.627511625,-0.14782003125
E01000122,E09000003,E12000007,E92000001,51.62614433333333,-0.1367837
E01000123,E09000003,E12000007,E92000001,51.62394646875,-0.1476636875
E01000124,E09000003,E12000007,E92000001,51.61862956363636,-0.1436239818181818
E01000126,E09000003,E12000007,E92000001,51.60081772413793,-0.2513128620689655
E01000127,E09000003,E12000007,E92000001,51.60575856756757,-0.25966791891891894
E01000128,E09000003,E12000007,E92000001,51.601098575757575,-0.259021303030303
E01000129,E09000003,E12000007,E92000001,51.60171240677966,-0.26418169491525423
E01000130,E09000003,E12000007,E92000001,51.60431336,-0.25463684000000003
E01000131,E09000003,E12000007,E92000001,51.59747213333333,-0.25697563333333334
E01000132,E09000003,E12000007,E92000001,51.60900036363636,-0.2579121818181818
